n,p_K,Fstar,passes,time,final_relgap,reg,strategy,amplitude,gaps,primals,reached_tol,dual_relgaps,dual_cert,it,pass,K,s,relgaps,p
500,0.02,255.8480867890387,20,0.16154813766479492,1.0e-20,0.05,exact,2.0,8.497332828483195e-7,255.84808763877197,true,Float64(33),7.563500487042623e-6,3,27,5,5,3.321241497299032e-9,200
500,0.02,255.8480867890387,20,0.16617798805236816,1.0e-20,0.05,exact,2.0,4.24927804942854e-7,255.8480872139665,true,Float64(33),7.563500487042623e-6,3,28,5,5,1.6608598105063462e-9,200
500,0.02,255.8480867890387,20,0.17051410675048828,1.0e-20,0.05,exact,2.0,2.105919634232123e-7,255.84808699963065,true,Float64(33),7.563500487042623e-6,3,29,5,5,8.231133015931339e-10,200
500,0.02,255.8480867890387,20,0.17493605613708496,1.0e-20,0.05,exact,2.0,1.0135420325241284e-7,255.8480868903929,true,Float64(33),7.563500487042623e-6,3,30,5,5,3.9614993617671704e-10,200
500,0.02,255.8480867890387,20,0.17960214614868164,1.0e-20,0.05,exact,2.0,4.504624939727364e-8,255.84808683408494,true,Float64(33),7.563500487042623e-6,3,31,5,5,1.7606639143804439e-10,200
500,0.02,255.8480867890387,20,0.18397307395935059,1.0e-20,0.05,exact,2.0,1.559516249471926e-8,255.84808680463385,true,Float64(33),7.563500487042623e-6,3,32,5,5,1.0e-10,200
500,0.02,255.8480867890387,20,0.18833017349243164,1.0e-20,0.05,exact,2.0,0.0,255.8480867890387,true,Float64(33),7.563500487042623e-6,3,33,5,5,1.0e-10,200
500,0.01,251.60843564499595,20,1.9073486328125e-5,4.7103676281123916e-11,0.05,exact,2.0,553.1105205720598,804.7189562170558,true,Float64(34),1.944159130944711e-5,3,1,5,5,2.1982987937354563,200
500,0.01,251.60843564499595,20,0.02158808708190918,4.7103676281123916e-11,0.05,exact,2.0,117.96826730651634,369.5767029515123,true,Float64(34),1.944159130944711e-5,3,2,5,5,0.4688565667685416,200
500,0.01,251.60843564499595,20,0.046092987060546875,4.7103676281123916e-11,0.05,exact,2.0,32.64154188640413,284.2499775314001,true,Float64(34),1.944159130944711e-5,3,3,5,5,0.12973150841595524,200
500,0.01,251.60843564499595,20,0.061982154846191406,4.7103676281123916e-11,0.05,exact,2.0,11.953937467120625,263.5623731121166,true,Float64(34),1.944159130944711e-5,3,4,5,5,0.04751008222946426,200
500,0.01,251.60843564499595,20,0.07309103012084961,4.7103676281123916e-11,0.05,exact,2.0,4.629724957167184,256.23816060216313,true,Float64(34),1.944159130944711e-5,3,5,5,5,0.018400515647652774,200
500,0.01,251.60843564499595,20,0.08021116256713867,4.7103676281123916e-11,0.05,exact,2.0,2.2176092928439743,253.82604493783992,true,Float64(34),1.944159130944711e-5,3,6,5,5,0.008813731889231588,200
500,0.01,251.60843564499595,20,0.08663201332092285,4.7103676281123916e-11,0.05,exact,2.0,1.2076746481416478,252.8161102931376,true,Float64(34),1.944159130944711e-5,3,7,5,5,0.004799817800407943,200
500,0.01,251.60843564499595,20,0.09268808364868164,4.7103676281123916e-11,0.05,exact,2.0,0.6620980597172661,252.27053370471322,true,Float64(34),1.944159130944711e-5,3,8,5,5,0.0026314620891783047,200
500,0.01,251.60843564499595,20,0.09851217269897461,4.7103676281123916e-11,0.05,exact,2.0,0.37497951535681295,251.98341516035276,true,Float64(34),1.944159130944711e-5,3,9,5,5,0.0014903296640096997,200
500,0.01,251.60843564499595,20,0.10379314422607422,4.7103676281123916e-11,0.05,exact,2.0,0.21450236396987066,251.82293800896582,true,Float64(34),1.944159130944711e-5,3,10,5,5,0.0008525245324942934,200
500,0.01,251.60843564499595,20,0.10996603965759277,4.7103676281123916e-11,0.05,exact,2.0,0.11454836729890872,251.72298401229486,true,Float64(34),1.944159130944711e-5,3,11,5,5,0.00045526441514277935,200
500,0.01,251.60843564499595,20,0.11474204063415527,4.7103676281123916e-11,0.05,exact,2.0,0.05336717467031349,251.66180281966626,true,Float64(34),1.944159130944711e-5,3,12,5,5,0.00021210407565830301,200
500,0.01,251.60843564499595,20,0.11976313591003418,4.7103676281123916e-11,0.05,exact,2.0,0.02547851282577085,251.63391415782172,true,Float64(34),1.944159130944711e-5,3,13,5,5,0.00010126255409703141,200
500,0.01,251.60843564499595,20,0.12471818923950195,4.7103676281123916e-11,0.05,exact,2.0,0.012378149901564939,251.62081379489751,true,Float64(34),1.944159130944711e-5,3,14,5,5,4.919608466160391e-5,200
500,0.01,251.60843564499595,20,0.1298351287841797,4.7103676281123916e-11,0.05,exact,2.0,0.006168690669596799,251.61460433566555,true,Float64(34),1.944159130944711e-5,3,15,5,5,2.451702644143634e-5,200
