commit,cell_id,cell_name,mu0,reg,seed,n,p,lambda_,n_iter,stop_crit,primal,runtime,converged,intercept,strategy
8f9cbd77,41,cell_041,0.7,0.02,2,500,1000,0.0029120343703603656,16,3.4080065896072154e-9,0.1485262502263583,0.5699304230001871,true,0.8380155748700417,newton
8f9cbd77,42,cell_042,0.7,0.01,2,500,1000,0.0014560171851801828,16,4.190005198270036e-9,0.08924783069296664,0.8914303230012592,true,1.0022002755608805,newton
8f9cbd77,43,cell_043,0.9,0.5,2,500,1000,0.06475712425759585,3,1.9937042294859708e-10,0.5715109399710745,0.010456243999215076,true,0.9654414234211209,newton
8f9cbd77,44,cell_044,0.9,0.2,2,500,1000,0.02590284970303834,5,5.62358671782337e-9,0.4570865560895875,0.019965649000369012,true,1.2586280825115017,newton
8f9cbd77,45,cell_045,0.9,0.1,2,500,1000,0.01295142485151917,10,3.3918562975659983e-9,0.3493185730456785,0.06520731400087243,true,1.6106652387562488,newton
8f9cbd77,46,cell_046,0.9,0.05,2,500,1000,0.006475712425759585,13,6.098961514641732e-9,0.2405336615429064,0.22057639900049253,true,2.0604168983764395,newton
8f9cbd77,47,cell_047,0.9,0.02,2,500,1000,0.002590284970303834,14,5.620416217936436e-9,0.1308077595063705,0.6720530679995136,true,2.7244544692657655,newton
8f9cbd77,48,cell_048,0.9,0.01,2,500,1000,0.001295142485151917,18,3.769524557079018e-9,0.07832203405388788,1.7574677869997686,true,3.230896662913312,newton
8f9cbd77,49,cell_049,0.95,0.5,2,500,1000,0.057877326106195295,3,5.0027693515586336e-9,0.4967304566251245,0.010495226999410079,true,1.3773674136536382,newton
8f9cbd77,50,cell_050,0.95,0.2,2,500,1000,0.02315093044247812,7,7.715877589631326e-11,0.38539396564543327,0.030291844001112622,true,1.834913070948215,newton
8f9cbd77,51,cell_051,0.95,0.1,2,500,1000,0.01157546522123906,10,6.332319345964121e-9,0.28157546111920806,0.06697257500127307,true,2.3886239939049148,newton
8f9cbd77,52,cell_052,0.95,0.05,2,500,1000,0.00578773261061953,15,2.145372870673845e-9,0.18670452783280608,0.2321691720007948,true,3.076670633349756,newton
8f9cbd77,53,cell_053,0.95,0.02,2,500,1000,0.002315093044247812,14,6.110002666141756e-9,0.0987992637810893,0.5709718110010726,true,4.046374168019611,newton
8f9cbd77,54,cell_054,0.95,0.01,2,500,1000,0.001157546522123906,14,8.02482239621767e-9,0.058456254326118735,1.2449108559994784,true,4.7893014924795,newton
8f9cbd77,55,cell_055,0.99,0.5,2,500,1000,0.031177537474844554,6,4.2632677943466035e-10,0.32132045412078464,0.02004482799929974,true,2.2891097317030047,newton
