passes,init_partial0F,init_relgap,final_relgap,nnz_solution,randomize,strategy,times,dataset,warm_start,reg_grid,lambdamax,start_kind,ordering
44,100.0,0.6128599453938585,6.615970459468761e-9,64,true,gradient,0.25876688957214355,simulated,false,0.18765448504002957,64.19253505215202,cold,permuted
56,100.0,0.6820297979373803,9.903432252386198e-9,100,true,gradient,0.34196901321411133,simulated,false,0.14198815201729703,64.19253505215202,cold,permuted
86,100.0,0.7406644721933645,7.2166988481582296e-9,133,true,gradient,0.8275589942932129,simulated,false,0.10743487057602952,64.19253505215202,cold,permuted
114,100.0,0.7897047968455836,8.135685867395877e-9,153,true,gradient,0.7221231460571289,simulated,false,0.08129024324707132,64.19253505215202,cold,permuted
157,100.0,0.8302982601575181,7.524888057934445e-9,167,true,gradient,1.0123341083526611,simulated,false,0.06150799653536698,64.19253505215202,cold,permuted
213,100.0,0.8636241363397819,9.898169157123043e-9,181,true,gradient,1.579535961151123,simulated,false,0.04653982429719224,64.19253505215202,cold,permuted
294,100.0,0.8908001350011554,8.500116602899299e-9,194,true,gradient,1.9424829483032227,simulated,false,0.03521420575563868,64.19253505215202,cold,permuted
300,100.0,0.9128371285527405,6.837092451716862e-7,200,true,gradient,1.9949798583984375,simulated,false,0.026644713548591308,64.19253505215202,cold,permuted
300,100.0,0.9306219834740698,1.9861188429398988e-5,209,true,gradient,2.276867151260376,simulated,false,0.02016063531328705,64.19253505215202,cold,permuted
300,100.0,0.9449163945000076,0.00018083070549153286,208,true,gradient,2.022722005844116,simulated,false,0.015254478735307905,64.19253505215202,cold,permuted
300,100.0,0.95636435774686,0.0013916029198579598,215,true,gradient,2.238940954208374,simulated,false,0.011542251415688211,64.19253505215202,cold,permuted
300,100.0,0.9655038244899873,0.007453678941588703,218,true,gradient,2.0945520401000977,simulated,false,0.008733406762343065,64.19253505215202,cold,permuted
300,100.0,0.972779880236669,0.02729448463749489,229,true,gradient,2.2621119022369385,simulated,false,0.006608103647168024,64.19253505215202,cold,permuted
300,100.0,0.9785579174514318,0.05827452847216786,233,true,gradient,2.156337022781372,simulated,false,0.005000000000000002,64.19253505215202,cold,permuted
5,100.0,0.11870910076930719,5.731545379950945e-9,0,true,gradient,0.02440500259399414,simulated,true,1.0,64.19253505215202,warm,permuted
18,0.019174031301166128,0.04667978990865885,5.969196929853175e-9,10,true,gradient,0.09687590599060059,simulated,true,0.756646727558943,64.19253505215202,warm,permuted
21,1.237012906551982e-7,0.04256810139162042,4.385391394606794e-9,11,true,gradient,0.3110780715942383,simulated,true,0.5725142703256574,64.19253505215202,warm,permuted
22,6.336356084268857e-8,0.03683821238431787,7.510266376539032e-9,14,true,gradient,0.1391439437866211,simulated,true,0.43319104912270473,64.19253505215202,warm,permuted
25,1.5915678575062486e-7,0.03408187109014606,3.843015983060227e-9,20,true,gradient,0.14957618713378906,simulated,true,0.32777258972651985,64.19253505215202,warm,permuted
30,2.8974970123218924e-7,0.03238258497317481,5.3782093502058406e-9,39,true,gradient,0.17459583282470703,simulated,true,0.2480080574000913,64.19253505215202,warm,permuted
38,4.4842620416929435e-7,0.03074604962366862,4.939488054524869e-9,64,true,gradient,0.22691011428833008,simulated,true,0.18765448504002957,64.19253505215202,warm,permuted
52,6.623533315708308e-7,0.028549696255805442,6.380087229770865e-9,100,true,gradient,0.31075501441955566,simulated,true,0.14198815201729703,64.19253505215202,warm,permuted
77,4.670278049012655e-7,0.025394687462522634,6.634659206721113e-9,133,true,gradient,0.4800128936767578,simulated,true,0.10743487057602952,64.19253505215202,warm,permuted
104,3.0191510869137517e-7,0.02176752427442773,6.982068654363915e-9,153,true,gradient,0.864670991897583,simulated,true,0.08129024324707132,64.19253505215202,warm,permuted
142,2.707826936010349e-7,0.018792191637816872,7.288469544266191e-9,167,true,gradient,0.9123489856719971,simulated,true,0.06150799653536698,64.19253505215202,warm,permuted
196,3.3085812647243307e-7,0.01649898829511511,9.460033873525635e-9,181,true,gradient,1.2730650901794434,simulated,true,0.04653982429719224,64.19253505215202,warm,permuted
262,3.334509353844495e-7,0.014684469374644222,9.735841546829592e-9,194,true,gradient,1.9441461563110352,simulated,true,0.03521420575563868,64.19253505215202,warm,permuted
300,3.7644643983980597e-7,0.013218376031314759,1.0271145305706174e-7,200,true,gradient,2.141453981399536,simulated,true,0.026644713548591308,64.19253505215202,warm,permuted
300,3.657922447913853e-6,0.012022795114867525,1.696883061784458e-6,209,true,gradient,2.315591812133789,simulated,true,0.02016063531328705,64.19253505215202,warm,permuted
300,8.406130149842331e-5,0.011043592618511877,2.1066255896224398e-5,208,true,gradient,2.064436912536621,simulated,true,0.015254478735307905,64.19253505215202,warm,permuted
300,0.0005902608116289581,0.010244877807313132,0.0001505596872415537,215,true,gradient,2.2531981468200684,simulated,true,0.011542251415688211,64.19253505215202,warm,permuted
300,0.0027716722919136454,0.009686560896027575,0.0005863727120208681,217,true,gradient,2.007556915283203,simulated,true,0.008733406762343065,64.19253505215202,warm,permuted
